"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\package-lock.json", "JSON", 16268, 0, 0, 0, 0, 0, 0, 1, 16269
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\package.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 1, 82
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\public\index.html", "HTML", 0, 0, 0, 0, 0, 27, 23, 2, 52
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\actions\index.js", "JavaScript", 0, 903, 0, 0, 0, 0, 15, 132, 1050
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\actions\type.js", "JavaScript", 0, 110, 0, 0, 0, 0, 12, 42, 164
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\api\api.js", "JavaScript", 0, 4, 0, 0, 0, 0, 3, 2, 9
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\App.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\App.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 27, 182
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\Adress.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\CheckOutComponent.js", "JavaScript", 0, 332, 0, 0, 0, 0, 6, 25, 363
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\ModalCostum.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\PaymentForm.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\PricePropose.js", "JavaScript", 0, 247, 0, 0, 0, 0, 0, 19, 266
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\SecurityBadge.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\StatusPaymentComponent.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 11, 80
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Checkout\StripeContainer.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 12, 66
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Favorite\FavoriteItem.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 6, 111
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Footer\Aide.js", "JavaScript", 0, 430, 0, 0, 0, 0, 0, 24, 454
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Footer\Assisstance.js", "JavaScript", 0, 176, 0, 0, 0, 0, 0, 79, 255
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Footer\ConditionG.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Footer\Footer.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 2, 64
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Footer\PaginationComponent.js", "JavaScript", 0, 61, 0, 0, 0, 0, 1, 5, 67
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Footer\Sell.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Header.js", "JavaScript", 0, 618, 0, 0, 0, 0, 0, 48, 666
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\CostumCatalogueComponent.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 6, 211
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\CostumChips.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\CostumPopper.js", "JavaScript", 0, 167, 0, 0, 0, 0, 1, 14, 182
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\CostumPriceComponent.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 9, 95
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\DisplayCatalogue.js", "JavaScript", 0, 336, 0, 0, 0, 0, 0, 45, 381
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\SizeFilter.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 15, 175
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\CatalogueDisplay\renderChipsComponents.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 7, 81
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\DND\SortableGrid.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 16, 199
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\ItemCreate.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 9, 61
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\ItemEdit.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\ItemForm.js", "JavaScript", 0, 241, 0, 0, 0, 0, 297, 27, 565
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\ItemLists.js", "JavaScript", 0, 299, 0, 0, 0, 0, 1, 26, 326
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\Proposition\ProposeDialog.js", "JavaScript", 0, 173, 0, 0, 0, 0, 0, 17, 190
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\BrandForm.js", "JavaScript", 0, 223, 0, 0, 0, 0, 0, 23, 246
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\DeliveryFormRadio.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 13, 127
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\colorForm.js", "JavaScript", 0, 173, 0, 0, 0, 0, 0, 22, 195
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\costumTextfield.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\dropDownItem.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 14, 169
